Accreditation code,Power station name,State,Installed capacity,Postcode,Fuel source(s),Accreditation start date,Suspension status,Baseline (MWh),Comment
SRWDSA02,PAREP 1 PTY LIMITED-WIND SOLAR- SA,SA,316.8818,5700,Wind,19/04/2022,Unsuspended,0,n/a
SRPVQLV9,CedarGroveWWTP-Solar-QLD,QLD,0.1952,4285,Solar,22/04/2022,Unsuspended,0,n/a
SRPXNS76,Lindisfarne Mahers Lane - Solar - NSW,NSW,0.3308,2486,Solar,22/04/2022,Unsuspended,0,n/a
SRPVWAF2,Ningaloo Visitors Center - Solar wSGU -WA,WA,0.2595,6707,Solar,22/04/2022,Unsuspended,0,n/a
SRPVQLV0,Woolooga Solar Farm - Solar - QLD,QLD,214.3372,4570,Solar,22/04/2022,Unsuspended,0,n/a
SRPVQLV8,Sunny Queen Carol Park - Solar wSGU- Qld,QLD,0.2095,4300,Solar,26/04/2022,Unsuspended,0,n/a
SRPXNS48,"ISPT Wrights Rd, Kellyville - Solar - NSW",NSW,0.4563,2155,Solar,28/04/2022,Unsuspended,0,n/a
SRPVQLT4,BLUE GRASS SOLAR FARM - SOLAR - QLD,QLD,199.8226,4413,Solar,29/04/2022,Unsuspended,0,n/a
SRPXNS78,St Augustine's College- Solar- NSW,NSW,0.2323,2100,Solar,29/04/2022,Unsuspended,0,n/a
SRPXNS79,Kitchen Group Solar PV NSW,NSW,0.5787,2250,Solar,2/05/2022,Unsuspended,0,n/a
SRPVTA15,The Vale - Solar w SGU - TAS,TAS,0.2274,7306,Solar,2/05/2022,Unsuspended,0,n/a
SRPVQLW0,Laser 3D Luscombe - Solar - QLD,QLD,0.3024,4207,Solar,3/05/2022,Unsuspended,0,n/a
SRPXNS80,Bunnings Leppington - Solar - NSW,NSW,0.2995,2171,Solar,4/05/2022,Unsuspended,0,n/a
SRPVWAE9,Kalumburu 700kW Solar Farm - WA,WA,0.93,6740,Solar,9/05/2022,Unsuspended,0,n/a
BEBGSA08,Naracoorte Cogeneration - Biogas - SA,SA,0.55,5271,Biomass,11/05/2022,Unsuspended,0,n/a
SRPXNS77,Hebel Somersby - Solar - NSW,NSW,0.703,2250,Solar,18/05/2022,Unsuspended,0,n/a
SRPXVC79,ISPT - Cnr Colac Road & Pioneer Road - Waurn Ponds - SOLAR - VIC,VIC,1.1649,3216,Solar,18/05/2022,Unsuspended,0,n/a
SRPXNS83,Kurri Kurri WWTW - Solar - NSW,NSW,0.3024,2326,Solar,26/05/2022,Unsuspended,0,n/a
SRPXNS82,Morpeth WWTW - Solar - NSW,NSW,0.6048,2321,Solar,26/05/2022,Unsuspended,0,n/a
SRPXNS84,Raymond Terrace WWTW - Solar - NSW,NSW,0.2016,2324,Solar,26/05/2022,Unsuspended,0,n/a
SRPVWAF4,BROLOS WELSHPOOL - SOLAR - WA,WA,0.5224,6106,Solar,27/05/2022,Unsuspended,0,n/a
SRPXVC82,GPE - Henkel Kilsyth - Solar - VIC,VIC,0.6129,3137,Solar,27/05/2022,Unsuspended,0,n/a
SRPXNS88,GPE - Henkel Seven Hills - Solar- NSW,NSW,0.3537,2147,Solar,27/05/2022,Unsuspended,0,n/a
SRPXNS81,Warwick farm CCP - Solar - NSW,NSW,0.2741,2170,Solar,31/05/2022,Unsuspended,0,n/a
SRPVWAF5,Centerwest - Solar w SGU - WA,WA,0.2998,6041,Solar,1/06/2022,Unsuspended,0,n/a
SRPVSAQ1,Murray Bridge - Onkaparinga Pipeline Pump 2 (MU3322) - Solar - SA,SA,13.0234,5254,Solar,1/06/2022,Unsuspended,0,n/a
SRPVVCU1,Bucher Municipal - Solar - VIC,VIC,0.2036,3168,Solar,2/06/2022,Suspended,0,n/a
SRPXQL55,"Mon Repos Road, Mon Repos - Solar - Qld",QLD,0.2007,4670,Solar,2/06/2022,Unsuspended,0,n/a
SRPVAC24,Canberra Raiders Sports Club - Solar - ACT,ACT,0.2973,2912,Solar,6/06/2022,Unsuspended,0,n/a
SRPXVC84,Health Purchasing Seymour Hospital Solar - VIC,VIC,0.149,3660,Solar,10/06/2022,Suspended,0,n/a
SRPXVC85,Dexus Hello Fresh - Solar - VIC,VIC,0.6003,3023,Solar,13/06/2022,Unsuspended,0,n/a
SRPXVC87,Electrolux - Solar - VIC,VIC,0.252,3023,Solar,17/06/2022,Unsuspended,0,n/a
SRWDWA02,Shark Lake - Wind Solar - WA,WA,13.0541,6450,Wind,17/06/2022,Unsuspended,0,n/a
SRPXVC88,Fernhurst Truganina - Solar - VIC,VIC,0.4432,3029,Solar,20/06/2022,Unsuspended,0,n/a
SRPXVC86,South Gippsland Water - Lance Creek Plant - Solar - VIC,VIC,0.6796,3979,Solar,20/06/2022,Unsuspended,0,n/a
SRPVSAQ3,Poussin Poultry Pty Ltd - Solar w SGU - SA,SA,0.2302,5254,Solar,21/06/2022,Unsuspended,0,n/a
SRPXNS90,Agile Energy - Calvary Nulkaba - 259kW Solar w SGU - NSW,NSW,0.2587,2325,Solar,28/06/2022,Unsuspended,0,n/a
SRPVSAQ5,Agile Energy - NGA - 373kW - Solar w SGU - SA,SA,0.3727,5006,Solar,28/06/2022,Unsuspended,0,n/a
SRPXNS86,iQ Renew - Solar - NSW,NSW,0.2474,2250,Solar,28/06/2022,Unsuspended,0,n/a
SRPVQLW2,Beenleigh Marketplace Solar PV QLD,QLD,0.6553,4207,Solar,30/06/2022,Unsuspended,0,n/a
SRPXNS91,UTS Building D - Solar - NSW,NSW,0.1426,2019,Solar,30/06/2022,Unsuspended,0,n/a
SRPXNS89,Wattle Grove Shopping Village - Solar w SGU - NSW,NSW,0.1975,2173,Solar,1/07/2022,Unsuspended,0,n/a
SRPVSAT6,Westpac Lockleys - Solar - SA,SA,1.4926,5032,Solar,1/07/2022,Unsuspended,0,n/a
SRPXVC89,AusPost Melbourne West PDC - Solar - VIC,VIC,0.7504,3020,Solar,4/07/2022,Unsuspended,0,n/a
SRPVWAF6,Meekatharra WTP-Solar-WA,WA,0.3024,6642,Solar,4/07/2022,Unsuspended,0,n/a
SRPXVC90,South Gippsland Water - Leongatha WWTP - Solar w SGU - VIC,VIC,0.211,3953,Solar,4/07/2022,Unsuspended,0,n/a
SRPVQLW3,ROCKLEA PRESSED METAL - Solar wSGU - QLD,QLD,0.425,4110,Solar,7/07/2022,Unsuspended,0,n/a
SRPXVC91,Splash Aqua Park - Solar - VIC,VIC,0.1992,3064,Solar,11/07/2022,Unsuspended,0,n/a
SRPXVC92,WWHS Nhill Hospital - Solar - Vic,VIC,0.1801,3418,Solar,11/07/2022,Unsuspended,0,n/a
SRPVSAQ2,"Warehouse Birralee Rd, Regency Park - Solar w SGU - SA",SA,0.23,5010,Solar,15/07/2022,Unsuspended,0,n/a
WD00VC47,Mortlake South Wind Farm - VIC,VIC,157.5,3265,Wind,18/07/2022,Unsuspended,0,n/a
SRPVSAQ4,Oldham Road Elizabeth South - Solar w SGU - SA,SA,0.6275,5112,Solar,18/07/2022,Unsuspended,0,n/a
WD00WA25,Waslee Downs Wind Farm - WA,WA,2.5,6521,Wind,29/07/2022,Unsuspended,0,n/a
SRPXVC93,University of Melbourne B887 Melbourne Theatre Company - Solar - VIC,VIC,0.1238,3006,Solar,2/08/2022,Unsuspended,0,n/a
SRPVQLW6,Cannon Hill Anglican College - Solar [w SGU] - QLD,QLD,0.1949,4170,Solar,3/08/2022,Unsuspended,0,n/a
SRPVSAQ7,Metcash Gepps Cross - Solar - SA,SA,1.0004,5094,Solar,3/08/2022,Unsuspended,0,n/a
