facility_id,financial_year_end,reporting_year,reporting_entity,facility_name,row_type,state,grid_connected,grid,primary_fuel,electricity_production_gj,electricity_production_mwh,scope1_emissions_tco2e,scope2_emissions_tco2e,total_emissions_tco2e,emission_intensity_tco2e_per_mwh,jv_double_counted
128,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Karumba Power Station,F,QLD,Off,Off-grid,Diesel,51753.0,14376.0,9935.0,8.0,9943,0.69,False
129,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Laverton Remote Power Station,F,WA,Off,Off-grid,Liquid Fuel,13825.0,3840.0,2685.0,0.0,2685,0.7,False
130,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Leonora Remote Power Station,F,WA,Off,Off-grid,Gas,32000.0,8889.0,6446.0,0.0,6446,0.73,False
131,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Looma Power Station,FA,WA,Off,Off-grid,Gas/Diesel,9329.0,2591.0,2076.0,0.0,2076,0.8,False
132,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Lucas Heights 1 LFG Power Station,F,NSW,On,NEM,Landfill Gas,81911.0,22753.0,1447.0,3.0,1450,0.06,False
133,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Lucas Heights 2 LFG Power Station,F,NSW,On,NEM,Landfill Gas,363270.0,100908.0,6422.0,3.0,6425,0.06,False
134,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,McArthur River Power Station,F,NT,Off,Off-grid,Gas,1028823.0,285784.0,132182.0,0.0,132182,0.46,False
135,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Meekatharra Remote Power Station,F,WA,Off,Off-grid,Liquid Fuel,23382.0,6495.0,4675.0,0.0,4675,0.72,False
136,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Menzies Remote Power Station,F,WA,Off,Off-grid,Liquid Fuel,2620.0,728.0,560.0,0.0,560,0.77,False
137,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Moranbah North CMM Power Station,F,QLD,On,NEM,Waste Coal Mine Gas,1581863.0,439406.0,238554.0,0.0,238554,0.54,False
138,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Mt Magnet Remote Power Station,F,WA,Off,Off-grid,Gas,12419.0,3450.0,2514.0,0.0,2514,0.73,False
139,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Mugga Lane LFG Power Station,F,ACT,On,NEM,Landfill Gas,79427.0,22063.0,1398.0,1.0,1399,0.06,False
140,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Oaky Creek Power Station,F,QLD,On,NEM,Coal Seam Methane,481153.0,133654.0,77508.0,23.0,77531,0.58,False
141,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Pedler Creek LFG Power Station,F,SA,On,NEM,Landfill Gas,68940.0,19150.0,1210.0,2.0,1212,0.06,False
142,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Pine Creek A Power Station,F,NT,On,DKIS,Gas,651894.0,181082.0,90532.0,0.0,90532,0.5,False
143,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Roghan Road LFG Power Station,FA,QLD,On,NEM,Landfill Gas,4877.0,1355.0,83.0,44.0,127,0.06,False
144,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Sandstone Remote Power Station,F,WA,Off,Off-grid,Liquid Fuel,1831.0,509.0,406.0,0.0,406,0.8,False
145,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Springvale LFG Power Station,F,VIC,On,NEM,Landfill Gas,60010.0,16669.0,1066.0,13.0,1079,0.06,False
146,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Tahmoor Power Station,F,NSW,On,NEM,Waste Coal Mine Gas,167241.0,46456.0,29870.0,10.0,29880,0.64,False
147,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Teralba Power Station,F,NSW,On,NEM,Coal Seam Methane,41260.0,11461.0,7316.0,32.0,7348,0.64,False
