facility_id,facility_name,state,primary_fuel,match_status,match_score,accreditation_code,station_name,postcode,installed_capacity_mw,fuel_source,accreditation_start_date,approval_date,committed_date,suspension_status,baseline_mwh,cer_source_type,use_for_geocoding,lat,lon,geocode_source
377,Amanbidgi (Kildurk),NT,Diesel,nger_only,,,,,,,,,,,,,,,,
378,"Ampilatwatja (Alparra, Ammaroo)",NT,Diesel,nger_only,,,,,,,,,,,,,,,,
379,Amunturangu,NT,Diesel,nger_only,,,,,,,,,,,,,,,,
380,Aputula (Finke),NT,Diesel,nger_only,,,,,,,,,,,,,,,,
381,Areyonga (Utju),NT,Diesel,nger_only,,,,,,,,,,,,,,,,
382,Atitjere (Harts Range),NT,Diesel,nger_only,,,,,,,,,,,,,,,,
383,Borroloola Generation,NT,Diesel,nger_only,,,,,,,,,,,,,,,,
384,Bulla Camp,NT,Diesel,nger_only,,,,,,,,,,,,,,,,
385,Bulman,NT,Diesel,nger_only,,,,,,,,,,,,,,-13.6658065,134.3360241,nominatim_facility
386,Daly Waters Generation,NT,Diesel,nger_only,,,,,,,,,,,,,,,,
387,Elliot Generation,NT,Diesel,nger_only,,,,,,,,,,,,,,,,
388,Engawala (Alcoota),NT,Diesel,nger_only,,,,,,,,,,,,,,,,
389,Epenarra,NT,Diesel,nger_only,,,,,,,,,,,,,,,,
390,Eva Valley,NT,Diesel,nger_only,,,,,,,,,,,,,,,,
391,Galiwinku (Elcho Island),NT,Diesel,nger_only,,,,,,,,,,,,,,,,
392,Gapuwiyak (Lake Evella),NT,Diesel,nger_only,,,,,,,,,,,,,,,,
393,Gunbalanya (Oenpelli),NT,Diesel,nger_only,,,,,,,,,,,,,,,,
394,Ikuntji (Haasts Bluff),NT,Diesel,nger_only,,,,,,,,,,,,,,,,
